,Title,Release Year,Genres,Rating,Votes,Story
151,Baby Shark's Big Show!,2020– ,"Animation, Short, Adventure",2.9,774,"PINKFONG's popular brand, Baby Shark, is back with a fun-filled preschool series. It follows Baby Shark and his best friend, William the fish, as they journey on comedic adventures in their community of Carnivore Cove."
152,Just Between Lovers,2017–2018,"Drama, Romance",8.2,"2,909","A major accident takes the lives of 48 people. The lives of the survivors, those who lost loved ones and those connected to the parties blamed for the tragic event are also marked forever."
153,Shooting Stars,2022,"Comedy, Drama, Romance",7.6,"2,571","Oh Han Byul leads an entertainment agency's PR team. One of her top clients is star Gong Tae Sung who does no wrong. They went to the same university, where he became her swoon enemy. They bicker but soon develop feelings for one another."
154,My ID Is Gangnam Beauty,2018,"Comedy, Romance",7.3,"5,549","Kang Mi Rae recovers her self esteem after being bullied as she gets to know Do Kyung Suk after getting plastic surgery. Then she gets called the ""Gangnam plastic surgery monster."""
155,Rookie Historian Goo Hae-Ryung,2019,"Comedy, Drama, History",8.1,"2,798","Set in the early 19th century. Goo Hae Ryung works as a historian. Female historians like Goo Hae Ryung are generally looked down upon because of their gender. Yet, Goo Hae Ryung fulfills ...                See full summary »"
156,Darkwing Duck,1991–1992,"Animation, Short, Action",7.6,"17,288",A bumbling superhero battles crime with the help of his daughter and pilot sidekick.
157,Clean with Passion for Now,2017–2019,"Comedy, Romance",7.0,"2,147","Gil Oh Sol, an employee at a cleaning company, meets Jang Sun Gyeol, the boss of the company. The two are diametric opposite when it comes to cleanliness. With the help of Oh Sol, Sun Gyeol faces his mysophobia and finds love."
158,Siren: Survive the Island,2023– ,"Game-Show, Reality-TV",8.1,"2,193","24 female police officers, firefighters, bodyguards, soldiers, athletes and stuntwomen team up by profession to compete for survival on a remote island."
159,SKY Castle,2018–2019,"Drama, Mystery",8.5,"3,820",A satirical drama that closely looks at the materialistic desires of upper-class parents in South Korea and how they ruthlessly secure the successes of their families at the cost of destroying others' lives.
160,The First Responders,2022– ,"Action, Adventure, Drama",8.0,945,An action drama about first responders involving the police and firefighters who work together in emergency situations to fight against crime and fire.
161,Doctor Cha Jeong Suk,2023– ,Drama,7.5,"1,522","It tells the story of a medical graduate turned housewife but decided to return to the medical field, and a doctor husband who maintains a perfect dual life. He is great at his job and he is also great at cheating on his wife."
162,Juvenile Justice,2022,"Crime, Drama",7.9,"4,738","A prickly judge who despises juvenile criminals arrives at a juvenile court, where she takes on a complex role examining punishment for young offenders."
163,Welcome to Waikiki,2018–2019,"Comedy, Drama",8.2,"3,010","With big dreams of financing their own film project, three struggling young men join forces in a guesthouse venture that is anything but profitable."
164,Chip 'n Dale: Rescue Rangers,1989–1990,"Animation, Action, Adventure",7.6,"21,033",Disney's fun-loving chipmunks are re-imagined as the leaders of a team of pint-sized crime-fighters.
165,One Spring Night,2019,"Drama, Romance",7.9,"3,447","A couple in their 30s has dated for many years. When they begin to discuss marriage, they begin to look upon their relationship in a different light."
166,Save Me,2017–2019,"Mystery, Thriller",7.9,"1,760",A young girl coming to a small town with her family. And through tragic events getting involved with a religious cult.
167,Cinderella and the Four Knights,2016,"Comedy, Romance",7.4,"4,897","A young girl who lives with her cruel stepmother and sister, accidentally meets 3 young and rich cousins who live a luxury life in a big mansion and is hired by the boys grandpa to look after their bad behavior."
168,Castaway Diva,2023– ,"Drama, Music",NaN,NaN,An aspiring singer who becomes stranded on a deserted island for 15 years and then commences a journey to become a diva.
169,The Little Mermaid,1992–1994,"Animation, Adventure, Comedy",6.7,"5,891",The 1989 animated feature adapted by Disney for television in a prequel that leads up to the events of the movie.
170,Those Who Read the Hearts of Evil,2022– ,"Crime, Drama, Mystery",8.0,"1,378","A crime thriller drama based on a web novel of the same name that contains the field experience of Kwon Il Yong, Korea's No. 1 profiler."
171,Love in Contract,2022– ,"Comedy, Drama, Romance",6.9,"1,047",Tells the story of a helper service that provides wives to single people needing partners to take to gatherings for married couples and school reunions.
172,Call It Love,2023,"Drama, Romance",7.7,948,"A woman thinks of revenge after her life halts at crossroads but instead starts empathizing with her mark. It's a melodrama of love, forgiveness, empathy and tragedies."
173,The New Adventures of Winnie the Pooh,1988–1991,"Animation, Short, Adventure",7.6,"4,602",Follow Winnie the Pooh's adventures in the Hundred Acre Wood.
174,TaleSpin,1990–1991,"Animation, Action, Adventure",7.5,"15,642",Baloo the Bear from The Jungle Book (1967) is cast as a 1930s Pacific Islands bush pilot.
175,The Bride of Habaek,2017,"Comedy, Fantasy, Romance",6.9,"3,648","The Water God Habaek visits earth to fulfill his mission with the help of his servant in the human world, named psychiatrist Yoon So Ah, whose ancestor have promised to serve The Water God ...                See full summary »"
176,The Sound of Magic,2022,"Drama, Fantasy, Music",7.6,"4,713","When she was little, Yun Ai dreamed of becoming a magician. But in reality, she's just a high school student who can't even afford new socks. After meeting a mysterious magician at a carnival, she decides to follow her dream."
177,Crazy Love,2022,"Comedy, Drama, Romance",7.3,"1,302","Noh Gojin, a genius who runs a private education company is conceited because of his many struggles while his current secretary, Lee Sina, who has lasted longer than anyone before, decides to get back at her boss."
178,Aladdin,1994–1995,"Animation, Action, Adventure",7.3,"12,552","Aladdin, the clever hero of Agrabah, continues his adventures with the help of his fiancee Princess Jasmine, his pet monkey Abu, Magic Carpet, Iago the greedy parrot, and of course his best friend the semi-cosmic Genie."
179,Love in the Moonlight,1996–2016,"Comedy, Drama, History",7.8,"3,849",The unlikely love story between a crown prince and his eunuch.
180,Prison Playbook,2017–2018,"Comedy, Drama",8.4,"4,391","Baseball pitcher Kim Je-hyeok becomes a convict overnight after being sent to prison for defending his sister from a sexual assault, days before he was due to fly to the US to join the Boston Red Sox."
181,Hercules,1998–1999,"Animation, Action, Adventure",6.6,"10,977","This spin-off of Disney's Hercules (1997) follows Hercules' many labors during the years he spent training how to be a hero under the tutelage of satyr Philoctetes. Olympian Gods and Goddesses, as well as Hades and Pegasus, often visit him."
182,The World of the Married,2020,"Drama, Romance",8.0,"3,226",A story about a married couple whose betrayal of one another leads to a whirlwind of revenge.
183,Bee & Puppycat: Lazy in Space,2022– ,"Animation, Comedy, Sci-Fi",8.5,743,The second season of beloved web series Bee and PuppyCat after a nearly five year break. The season picks back up the cheerful 22-year old Bee and intergalactic space warrior for a set of adventures.
184,"Link: Eat, Love, Kill",2022,"Crime, Drama, Fantasy",7.3,"1,318",A crime mystery thriller fantasy about a man and woman sharing same emotions. Gye Hoon is a chef whose twin sister went missing. Now he finds his random emotions connected with a girl named Da Hyun.
185,My Country: The New Age,2019,"Action, Drama, History",8.1,"2,350","Set during the end of the Goryeo period to the early Joseon period. Two friends aim their swords against one another due to differences in opinion about ""my country."""
186,Blind,2022,"Drama, Mystery, Thriller",8.0,"1,050","A homicide squad detective, suspected of serial murder, searches for the real culprit."
187,Oh My Ghost,2015,"Comedy, Drama, Fantasy",8.0,"4,952","Timid Na Bong Sun gets possessed by the ghost of a confident young woman who seeks to solve her one unfinished business by hooking up with Bong Sun's boss, famous chef Kang Sun Woo."
188,The Girl Downstairs,2023,"Comedy, Drama, Romance",8.1,143,"Freshman Juntang Yuan applies for Minsong University to get close to his senior crush, Zhu Zhu. After enrolling, he meets Shiya Li, a former idol who had dropped out. He also engages Ruoni ...                See full summary »"
189,Pinocchio,2014–2015,"Comedy, Drama, Mystery",8.1,"8,414","A young boy, whose life and family has been destroyed by new media, gets adopted by a family in a rural area after being found lost at sea. He conceals his past for 13 years. But then the girl he loves, a reporter, finds out the truth."
190,Black,2017,"Crime, Drama, Fantasy",7.8,"4,410",A man possessed by death. A woman who can see death. The earthly and the afterworld collide dangerously.
191,The Secret Romantic Guesthouse,2023– ,"Drama, History, Romance",7.3,300,"A work about an incident that takes place when the owners of the boarding house called 'Guest Summer Palace', which breaks stereotypes, and boarders with secrets gather to find Lee Seol who disappeared 13 years ago."
192,Anna,2022– ,Drama,7.5,888,"Yoo Mi is the woman who tells a small lie and ends up living someone else's life. Hyun Joo is a woman who lives her life holding herself above everyone, treating them with neither kindness ...                See full summary »"
193,The Queen's Umbrella,2022,"Comedy, Drama",8.5,"2,261","Im Hwa Ryeong, a prickly, sensitive, and hot-tempered queen, tries to turn her trouble making princes into proper crown princes."
194,Hi Cookie,2023– ,"Drama, Fantasy, Mystery",NaN,NaN,A drama about what happens when a dangerous handmade cookie that fulfills a dream devours an elite high school.
195,Jumong,2006–2007,"Biography, Drama, History",8.1,"3,730","An epic based on the myth of Jumong, founder of the ancient Korean kingdom of Goguryeo in 37 B.C."
196,Sijipeuseu: The Myth,2021,"Action, Drama, Fantasy",7.0,"4,677","An unfathomable incident introduces a genius engineer to dangerous secrets of the world, and to a woman from the future who's come looking for him."
197,Yumi's Cells,2021– ,"Comedy, Drama, Romance",8.2,"2,562","The story of an ordinary office worker named Yumi-from the point of view of the many brain cells in her head controlling her every thought, feeling, and action."
198,Secret Garden,2010–2011,"Comedy, Drama, Fantasy",8.1,"7,367","A rich young CEO falls for a poor stuntwoman despite class differences, cultural traditions and the man's firmly objecting mother."
199,Record of Youth,2020,"Drama, Romance",7.2,"3,082",Two actors and a makeup artist fight to make their own way in a world that weighs the backgrounds they were born into more than their dreams.
